task_id,turn,kind,name,input_tokens,output_tokens,reasoning_tokens,reused_input_tokens,duration_ms
apple-one-trial,1,llm,qwen3:14b,343,130,130,0,5725
apple-one-trial,2,llm,qwen3:14b,1495,328,328,103,15865
apple-one-trial,1,tool,search_documents,,1158,,,28
foldable-name,1,llm,qwen3:14b,340,112,112,0,4476
foldable-name,2,llm,qwen3:14b,1497,210,186,98,10460
foldable-name,1,tool,search_documents,,1156,,,11
siri-languages,1,llm,qwen3:14b,344,390,390,0,15044
siri-languages,2,llm,qwen3:14b,1554,178,156,104,9299
siri-languages,1,tool,search_documents,,1201,,,19
airpods-anc,1,llm,qwen3:14b,344,138,134,0,5292
airpods-anc,2,llm,qwen3:14b,1405,212,195,102,9812
airpods-anc,1,tool,search_documents,,1054,,,12
macos-release,1,llm,qwen3:14b,340,145,145,0,5608
macos-release,2,llm,qwen3:14b,1497,173,140,100,9246
macos-release,1,tool,search_documents,,1156,,,11
which-file-apple-one,1,llm,qwen3:14b,343,100,96,0,4204
which-file-apple-one,2,llm,qwen3:14b,1500,201,201,103,10615
which-file-apple-one,1,tool,search_documents,,1156,,,21
follow-up-trial-length,1,llm,qwen3:14b,1577,231,231,0,11686
two-hop-same-file,1,llm,qwen3:14b,350,719,719,0,29512
two-hop-same-file,2,llm,qwen3:14b,1507,250,235,112,10103
two-hop-same-file,1,tool,search_documents,,1156,,,19
current-year,1,llm,qwen3:14b,340,133,133,0,5205
current-year,2,llm,qwen3:14b,397,138,134,99,5311
current-year,1,tool,current_datetime,,12,,,10
absent-vacation-policy,1,llm,qwen3:14b,342,125,125,0,4819
absent-vacation-policy,2,llm,qwen3:14b,1501,209,200,102,10488
absent-vacation-policy,1,tool,search_documents,,1156,,,12
absent-salary,1,llm,qwen3:14b,340,104,104,0,4049
absent-salary,2,llm,qwen3:14b,1486,249,249,101,12241
absent-salary,1,tool,search_documents,,1158,,,10
