task_id,turns,tool_calls,input_tokens,output_tokens,reasoning_tokens,reused_input_tokens,cost_usd,duration_ms,stop_reason,succeeded,ctx_system,ctx_task,ctx_history,ctx_tools
apple-one-trial,2,1,1838,397,369,103,0.000514,16951,COMPLETED,true,378,74,146,1240
foldable-name,2,1,1837,303,291,98,0.000457,13413,COMPLETED,true,392,53,138,1254
siri-languages,2,1,1742,329,313,104,0.000459,14024,COMPLETED,true,376,78,163,1125
airpods-anc,2,1,1747,364,324,102,0.000480,15304,COMPLETED,true,379,69,212,1087
macos-release,2,1,1837,260,218,100,0.000432,11941,COMPLETED,true,388,62,106,1281
which-file-apple-one,2,1,1843,309,309,103,0.000462,14205,COMPLETED,true,378,74,159,1232
follow-up-trial-length,1,0,1588,225,223,0,0.000373,8827,COMPLETED,true,98,11,151,1328
current-year,2,1,737,225,220,99,0.000246,8824,COMPLETED,true,439,65,213,20
absent-vacation-policy,2,1,1737,492,492,102,0.000556,21520,COMPLETED,true,371,68,273,1025
absent-salary,2,1,1826,450,445,101,0.000544,19992,COMPLETED,true,381,65,145,1235
