task_id,turns,tool_calls,input_tokens,output_tokens,reasoning_tokens,reused_input_tokens,cost_usd,duration_ms,stop_reason,succeeded,ctx_system,ctx_task,ctx_history,ctx_tools
apple-one-trial,2,1,943,65,0,103,0.000180,3534,COMPLETED,true,155,29,22,328
foldable-name,2,1,947,50,0,98,0.000172,3167,COMPLETED,true,159,21,15,335
siri-languages,2,1,941,66,0,104,0.000181,3451,COMPLETED,true,157,32,30,309
airpods-anc,2,1,929,64,0,102,0.000178,3342,COMPLETED,true,160,29,20,301
macos-release,2,1,922,66,0,100,0.000178,3392,COMPLETED,true,158,25,16,309
which-file-apple-one,2,1,961,44,0,103,0.000171,2824,COMPLETED,true,158,30,16,341
follow-up-trial-length,1,0,709,31,0,0,0.000125,1352,COMPLETED,true,80,9,83,327
current-year,2,1,627,32,0,99,0.000113,1526,COMPLETED,true,158,23,16,11
absent-vacation-policy,2,1,939,42,0,102,0.000166,2341,COMPLETED,true,156,29,21,323
absent-salary,2,1,936,49,0,101,0.000170,2638,COMPLETED,true,157,27,17,323
